Face 35 :  | Normal(0,0,0) | Point[(1.61124,1.07641,0.648),(1.5923,1.16923,0.648),(1.67691,1.1934,0.312)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 36 :  | Normal(0,0,0) | Point[(1.69856,1.08732,0.312),(1.82161,1.1027,0.084),(1.79614,1.22747,0.084)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 37 :  | Normal(0,0,0) | Point[(1.69856,1.08732,0.312),(1.67691,1.1934,0.312),(1.79614,1.22747,0.084)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 38 :  | Normal(0,0,0) | Point[(1.82161,1.1027,0.084),(1.99228,1.12403,0),(1.96152,1.27472,0)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 39 :  | Normal(0,0,0) | Point[(1.82161,1.1027,0.084),(1.79614,1.22747,0.084),(1.96152,1.27472,0)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 40 :  | Normal(0,0,0) | Point[(1,1,3),(1.16538,1.04725,2.916),(1.15384,1.07692,2.916)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 41 :  | Normal(0,0,0) | Point[(1,1,3),(1,1,3),(1.15384,1.07692,2.916)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 42 :  | Normal(0,0,0) | Point[(1.16538,1.04725,2.916),(1.28461,1.08132,2.688),(1.26475,1.13238,2.688)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 43 :  | Normal(0,0,0) | Point[(1.16538,1.04725,2.916),(1.15384,1.07692,2.916),(1.26475,1.13238,2.688)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 44 :  | Normal(0,0,0) | Point[(1.28461,1.08132,2.688),(1.36923,1.10549,2.352),(1.34346,1.17173,2.352)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 45 :  | Normal(0,0,0) | Point[(1.28461,1.08132,2.688),(1.26475,1.13238,2.688),(1.34346,1.17173,2.352)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 46 :  | Normal(0,0,0) | Point[(1.36923,1.10549,2.352),(1.43076,1.12308,1.944),(1.4007,1.20035,1.944)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
